24602,272,-195
24617,272,-196
24633,272,-196
24648,272,-196
24664,272,-196
24679,272,-196
24695,272,-196
24711,272,-196
24726,272,-196
24748,272,-196
24770,272,-196
24792,272,-196
24813,272,-196
24836,272,-196
24857,272,-196
24879,272,-196
24901,272,-197
24923,272,-197
24944,272,-197
24982,275,-196
24997,275,-196
25014,275,-196
25032,275,-196
25054,275,-196
25075,275,-196
25098,278,-195
25119,278,-195
25141,278,-195
25163,271,-196
25185,271,-196
25206,271,-196
25229,276,-194
25250,276,-194
25272,276,-194
25294,270,-196
25316,270,-196
25337,270,-196
25360,273,-197
25381,273,-197
25403,273,-197
25425,272,-196
25447,272,-196
25468,272,-196
25491,273,-194
25512,273,-194
25534,273,-194
25555,273,-195
25578,273,-195
25600,273,-195
25621,271,-196
25644,271,-196
25665,271,-196
25687,274,-199
25709,274,-199
25731,274,-199
25752,274,-199
25775,274,-199
25796,274,-199
25818,274,-199
25840,274,-199
25862,274,-199
25883,274,-199
25906,274,-199
25927,274,-199
25949,274,-199
25971,274,-199
25993,274,-199
26014,274,-199
26037,283,-164
26058,283,-164
26080,283,-164
26102,286,-147
26124,286,-147
26145,286,-147
26168,290,-125
26189,290,-125
26211,290,-125
26233,293,-104
26255,293,-104
26276,293,-104
26299,296,-76
26319,296,-76
26340,296,-76
26361,291,-53
26382,291,-53
26402,291,-53
26424,290,-26
26444,290,-26
26465,290,-26
26485,290,-26
26507,290,-26
26527,290,-26
26548,290,-26
26570,279,17
26589,279,17
26608,279,17
26629,272,38
26648,272,38
26668,272,38
26688,272,38
26707,272,38
26727,272,38
26746,272,38
26767,255,72
26786,255,72
26806,255,72
26826,249,86
26846,249,86
26865,249,86
26885,249,86
26905,249,86
26925,249,86
26944,249,86
26964,234,108
26985,234,108
27005,234,108
27027,227,116
27047,227,116
27068,227,116
27089,221,117
27111,221,117
27130,221,117
27151,221,117
27172,221,117
27193,221,117
27213,221,117
27235,214,133
27255,214,133
27276,214,133
27297,209,135
27318,209,135
27338,209,135
27360,207,140
27380,207,140
27401,207,140
27422,207,140
27443,207,140
27463,207,140
27484,207,140
27505,206,143
27526,206,143
27546,206,143
27568,207,146
27588,207,146
27609,207,146
27631,203,142
27651,203,142
27671,203,142
27693,198,148
27713,198,148
27734,198,148
27755,198,148
27776,197,149
27796,197,149
27816,197,149
27838,195,152
27858,195,152
27879,195,152
27900,190,157
27921,190,157
27941,190,157
27963,187,161
27983,187,161
28004,187,161
28025,181,164
28046,181,164
28066,181,164
28088,181,164
28108,181,164
28129,181,164
28149,181,164
28172,169,174
28191,169,174
28212,169,174
28233,161,183
28254,161,183
28274,161,183
28296,155,181
28316,155,181
28337,155,181
28358,155,181
28379,155,181
28399,155,181
28421,155,181
28441,135,195
28462,135,195
28482,135,195
28504,127,202
28524,127,202
28545,127,202
28566,116,206
28587,116,206
28607,116,206
28628,100,213
28649,100,213
28669,100,213
28710,91,213
28727,91,213
28742,91,213
28758,91,213
28773,74,221
28789,74,221
28809,74,221
28829,60,226
28849,60,226
28868,60,226
28889,60,226
28908,60,226
28928,60,226
28947,60,226
28967,33,231
28987,33,231
29006,33,231
29027,13,234
29046,13,234
29066,13,234
29086,13,234
29106,4,234
29124,4,234
29143,4,234
29162,-17,234
29182,-17,234
29203,-17,234
29227,-31,235
29245,-31,235
29265,-31,235
29287,-31,235
29307,-45,232
29328,-45,232
29348,-45,232
29370,-61,231
29390,-61,231
29411,-61,231
29432,-75,228
29453,-75,228
29473,-75,228
29495,-86,228
29515,-86,228
29536,-86,228
29557,-86,228
29578,-86,228
29598,-86,228
29620,-86,228
29640,-114,218
29662,-114,218
29684,-114,218
29706,-129,213
29727,-129,213
29749,-129,213
29771,-142,206
29793,-142,206
29814,-142,206
29837,-157,197
29858,-157,197
29880,-157,197
29902,-170,190
29924,-170,190
29945,-170,190
29968,-185,186
29989,-185,186
30011,-185,186
30033,-194,177
30055,-194,177
30076,-194,177
30099,-205,165
30120,-205,165
30142,-205,165
30164,-214,158
30186,-214,158
30208,-214,158
30230,-225,148
30252,-225,148
30273,-225,148
30296,-235,143
30317,-235,143
30339,-235,143
30361,-235,143
30383,-235,143
30404,-235,143
30427,-235,143
30448,-235,143
30470,-235,143
30492,-235,143
30514,-235,143
30535,-235,143
30558,-235,143
30579,-268,95
30600,-268,95
30621,-268,95
30642,-277,84
30662,-277,84
30684,-277,84
30704,-282,73
30725,-282,73
30745,-282,73
30767,-289,61
30787,-289,61
30808,-289,61
30830,-294,50
30850,-294,50
30870,-294,50
30892,-294,50
30912,-299,36
30932,-299,36
30954,-299,36
30974,-305,25
30995,-305,25
31016,-305,25
31037,-307,16
31057,-307,16
31078,-307,16
31099,-311,4
31119,-311,4
31138,-311,4
31159,-311,4
31178,-314,-7
31199,-314,-7
31220,-314,-7
31241,-314,-20
31262,-314,-20
31285,-314,-20
31306,-319,-28
31328,-319,-28
31350,-319,-28
31372,-317,-39
31393,-317,-39
31416,-317,-39
31437,-322,-51
31459,-322,-51
31481,-322,-51
31503,-320,-62
31524,-320,-62
31547,-320,-62
31568,-322,-70
31590,-322,-70
31611,-322,-70
31634,-323,-77
31655,-323,-77
31677,-323,-77
31699,-321,-89
31721,-321,-89
31742,-321,-89
31765,-321,-89
31787,-321,-89
31808,-321,-89
31831,-321,-89
31852,-323,-106
31875,-323,-106
31898,-323,-106
31921,-323,-106
31943,-323,-106
31967,-317,-121
31989,-317,-121
32013,-317,-121
32035,-319,-130
32058,-319,-130
32081,-319,-130
32104,-316,-136
32126,-316,-136
32150,-316,-136
32173,-317,-144
32195,-317,-144
32219,-317,-144
32241,-315,-149
32264,-315,-149
32287,-315,-149
32310,-313,-158
32332,-313,-158
32356,-313,-158
32378,-311,-162
32401,-311,-162
32424,-311,-162
32447,-312,-168
32470,-312,-168
32493,-312,-168
32516,-310,-173
32538,-310,-173
32562,-310,-173
32584,-306,-178
32607,-306,-178
32630,-306,-178
32653,-306,-178
32675,-306,-178
32699,-306,-178
32721,-306,-192
32744,-306,-192
32768,-306,-192
32790,-306,-192
32814,-306,-192
32836,-297,-207
32859,-297,-207
32882,-297,-207
32905,-297,-213
32927,-297,-213
32968,-292,-221
32985,-292,-221
33000,-292,-221
33019,-292,-221
33042,-290,-227
33064,-290,-227
33088,-290,-227
33111,-288,-235
33133,-288,-235
33157,-288,-235
33179,-279,-243
