22467,Sta,Switch ON!
22505,Sta,Initialize SD OK!
40540,MagCal,199000,79000,961,19,xMaxs,221,124,124,124,124,124,122,122,122,122,xMins,-519,-519,-519,-519,-522,-522,-522,-522,-522,-760,yMaxs,260,260,260,260,260,257,257,257,257,257,yMins,-396,-396,-396,-396,-396,-415,-415,-415,-415,-415
58653,MagCal,203000,67500,989,2,xMaxs,121,121,121,121,121,121,121,121,121,121,xMins,-525,-525,-525,-527,-527,-527,-527,-527,-747,-748,yMaxs,260,260,260,260,260,260,260,260,260,260,yMins,-395,-395,-395,-395,-395,-395,-395,-395,-395,-395
60984,Sta,Initialize GPS OK!
61004,Sta,Initialization Finish!
70369	-316.00	-14.35
70390	-294.00	-100.42
70413	-294.00	-100.42
70436	-294.00	-100.42
70459	-247.00	-178.57
70481	-247.00	-178.57
70505	-247.00	-178.57
70528	-174.00	-251.78
70550	-174.00	-251.78
70574	-174.00	-251.78
70596	-78.00	-293.33
70618	-78.00	-293.33
70640	-78.00	-293.33
70662	32.00	-295.31
70682	32.00	-295.31
70704	32.00	-295.31
70726	129.00	-269.59
70746	129.00	-269.59
70768	129.00	-269.59
70790	225.00	-210.23
70811	225.00	-210.23
70834	225.00	-210.23
70855	292.00	-126.14
70877	292.00	-126.14
70899	292.00	-126.14
70921	322.00	-34.13
70941	322.00	-34.13
70963	322.00	-34.13
70983	322.00	-34.13
71004	322.00	-34.13
71025	322.00	-34.13
71046	322.00	-34.13
71066	281.00	168.68
71088	281.00	168.68
71108	281.00	168.68
71129	205.00	245.84
71149	205.00	245.84
71171	205.00	245.84
71191	90.00	288.38
71211	90.00	288.38
71231	90.00	288.38
71252	90.00	288.38
71270	90.00	288.38
71290	90.00	288.38
71310	90.00	288.38
71329	-23.00	296.30
71350	-23.00	296.30
71371	-23.00	296.30
71392	-131.00	281.46
71413	-131.00	281.46
71436	-131.00	281.46
71457	-222.00	227.05
71479	-222.00	227.05
71501	-222.00	227.05
71523	-282.00	148.89
71544	-282.00	148.89
71567	-282.00	148.89
71588	-311.00	58.86
71609	-311.00	58.86
71630	-311.00	58.86
71651	-311.00	58.86
71671	-311.00	58.86
71693	-311.00	58.86
71713	-311.00	58.86
71734	-280.00	-128.12
71757	-280.00	-128.12
71780	-280.00	-128.12
71802	-223.00	-212.21
71826	-223.00	-212.21
71848	-223.00	-212.21
71871	-136.00	-265.63
71895	-136.00	-265.63
71917	-136.00	-265.63
71940	-136.00	-265.63
71963	-136.00	-265.63
71986	-136.00	-265.63
72008	-136.00	-265.63
72032	-136.00	-265.63
72054	171.00	-257.72
72076	171.00	-257.72
72098	171.00	-257.72
72120	171.00	-257.72
72141	171.00	-257.72
72164	171.00	-257.72
72185	171.00	-257.72
72207	171.00	-257.72
72229	171.00	-257.72
72251	171.00	-257.72
72272	325.00	-9.40
72293	325.00	-9.40
72314	325.00	-9.40
72332	317.00	92.50
72352	317.00	92.50
72372	317.00	92.50
72391	269.00	184.51
72412	269.00	184.51
72433	269.00	184.51
72454	182.00	258.71
72474	182.00	258.71
72496	182.00	258.71
72516	182.00	258.71
72537	182.00	258.71
72558	182.00	258.71
72579	182.00	258.71
72599	23.00	240.90
72620	23.00	240.90
72639	23.00	240.90
72658	-37.00	292.34
72679	-37.00	292.34
72700	-37.00	292.34
72721	-144.00	276.51
72742	-144.00	276.51
72765	-144.00	276.51
72786	-232.00	212.21
72808	-232.00	212.21
72830	-232.00	212.21
72853	-232.00	212.21
72873	-232.00	212.21
72896	-232.00	212.21
72918	-232.00	212.21
72939	-313.00	43.04
72961	-313.00	43.04
72981	-313.00	43.04
73001	-308.00	-57.87
73024	-308.00	-57.87
73046	-308.00	-57.87
73067	-274.00	-146.91
73091	-274.00	-146.91
73113	-274.00	-146.91
73136	-211.00	-215.18
73159	-211.00	-215.18
73182	-211.00	-215.18
73204	-211.00	-215.18
73228	-211.00	-215.18
73250	-211.00	-215.18
73273	-211.00	-215.18
73296	-211.00	-215.18
73319	-211.00	-215.18
73341	-211.00	-215.18
73365	-211.00	-215.18
73388	169.00	-252.77
73409	169.00	-252.77
73432	169.00	-252.77
73453	3.00	-183.52
73473	259.00	-183.52
73495	259.00	-183.52
73517	259.00	-183.52
73538	259.00	-183.52
73561	259.00	-183.52
73582	259.00	-183.52
73604	259.00	-183.52
73626	259.00	-183.52
73648	259.00	-183.52
73669	312.00	114.27
73691	312.00	114.27
73711	312.00	114.27
73732	256.00	207.26
73753	256.00	207.26
73774	256.00	207.26
73794	159.00	286.41
73816	159.00	286.41
73836	159.00	286.41
73857	26.00	290.36
73876	26.00	290.36
73896	26.00	290.36
73930	30.00	250.79
73946	30.00	250.79
73961	30.00	250.79
73976	30.00	250.79
73995	-26.00	296.30
74016	-26.00	296.30
74037	-26.00	296.30
74057	-138.00	286.41
74079	-138.00	286.41
74101	-138.00	286.41
74123	-216.00	241.89
74144	-216.00	241.89
74167	-216.00	241.89
74188	-269.00	166.70
74210	-269.00	166.70
74232	-269.00	166.70
74254	-301.00	83.60
74274	-301.00	83.60
74296	-301.00	83.60
74316	-301.00	83.60
74337	-301.00	83.60
74358	-301.00	83.60
74379	-301.00	83.60
74399	-310.00	-54.91
74422	-310.00	-54.91
74443	-310.00	-54.91
74465	-287.00	-117.23
74488	-287.00	-117.23
1943,Sta,Switch ON!
1987,Sta,Initialize SD OK!
