625.892000	94058	28700641.243669	-575506.961909	39.300000	
626.882000	95106	28700609.339941	-575526.776778	39.300000	
627.884000	95107	28700609.339941	-575526.776778	39.300000	
628.885000	95108	28700609.339941	-575526.776778	39.300000	
629.883000	95109	28700609.339941	-575526.776778	39.300000	
630.883000	95110	28700609.339941	-575526.776778	39.300000	
646.928000	95110	28700609.339941	-575526.776778	39.300000	
647.875000	95127	28700612.988085	-575525.440944	39.300000	
648.875000	95128	28700612.988085	-575525.440944	39.300000	
649.875000	95129	28700612.988085	-575525.440944	39.300000	
688.932000	95129	28700612.988085	-575525.440944	39.300000	
689.858000	95209	28700611.794343	-575527.556015	39.300000	
690.879000	95210	28700611.794343	-575527.556015	39.300000	
691.859000	95211	28700611.794343	-575527.556015	39.300000	
75.740000	100809	28700847.532959	-575270.630630	39.300000	
76.665000	100907	28700859.213385	-575268.626879	39.300000	
77.665000	100908	28700859.213385	-575268.626879	39.300000	
78.664000	100909	28700859.213385	-575268.626879	39.300000	
79.664000	100910	28700859.213385	-575268.626879	39.300000	
80.665000	100911	28700859.213385	-575268.626879	39.300000	
100.748000	100911	28700859.213385	-575268.626879	39.300000	
101.660000	100932	28700862.537122	-575263.728822	39.300000	
102.658000	100933	28700862.537122	-575263.728822	39.300000	
103.658000	100934	28700862.537122	-575263.728822	39.300000	
138.719000	100934	28700862.537122	-575263.728822	39.300000	
139.644000	101010	28700866.334264	-575247.587495	39.300000	
140.645000	101011	28700866.334264	-575247.587495	39.300000	
141.643000	101012	28700866.334264	-575247.587495	39.300000	
66.708000	101012	28700866.334264	-575247.587495	39.300000	
167.634000	101038	28700874.027068	-575232.225406	39.300000	
168.634000	101039	28700874.027068	-575232.225406	39.300000	
169.634000	101040	28700874.027068	-575232.225406	39.300000	
195.698000	101040	28700874.027068	-575232.225406	39.300000	
196.626000	101107	28700881.313232	-575220.314220	39.300000	
197.642000	101108	28700881.313232	-575220.314220	39.300000	
198.623000	101109	28700881.313232	-575220.314220	39.300000	
127.435000	101943	28700884.524533	-575264.730697	39.300000	
128.363000	102031	28700877.576787	-575268.181601	39.300000	
129.362000	102032	28700877.576787	-575268.181601	39.300000	
130.366000	102033	28700877.576787	-575268.181601	39.300000	
131.366000	102034	28700877.576787	-575268.181601	39.300000	
132.366000	102035	28700877.576787	-575268.181601	39.300000	
63.739000	102410	28700881.762419	-575263.617502	39.300000	
64.684000	102455	28700881.762419	-575263.617502	39.300000	
65.687000	102456	28700881.762419	-575263.617502	39.300000	
66.666000	102457	28700881.762419	-575263.617502	39.300000	
67.666000	102458	28700881.762419	-575263.617502	39.300000	
68.667000	102459	28700881.762419	-575263.617502	39.300000	
85.737000	102459	28700881.762419	-575263.617502	39.300000	
86.664000	102517	28700880.864781	-575262.281668	39.300000	
87.662000	102518	28700880.864781	-575262.281668	39.300000	
88.663000	102519	28700880.864781	-575262.281668	39.300000	
124.723000	102519	28700880.864781	-575262.281668	39.300000	
125.665000	102556	28700882.772398	-575246.696939	39.300000	
126.649000	102557	28700882.772398	-575246.696939	39.300000	
127.647000	102558	28700882.772398	-575246.696939	39.300000	
155.712000	102558	28700882.772398	-575246.696939	39.300000	
156.638000	102627	28700882.772398	-575246.696939	39.300000	
157.658000	102628	28700882.772398	-575246.696939	39.300000	
158.659000	102629	28700882.772398	-575246.696939	39.300000	
205.691000	102629	28700882.772398	-575246.696939	39.300000	
206.617000	102717	28700890.494985	-575240.797006	39.300000	
207.617000	102718	28700890.494985	-575240.797006	39.300000	
208.637000	102719	28700890.494985	-575240.797006	39.300000	
257.673000	102719	28700890.494985	-575240.797006	39.300000	
258.596000	102809	28700889.455458	-575227.549987	39.300000	
259.617000	102810	28700889.455458	-575227.549987	39.300000	
260.618000	102811	28700889.455458	-575227.549987	39.300000	
287.662000	102811	28700889.455458	-575227.549987	39.300000	
288.586000	102839	28700885.478441	-575215.527482	39.300000	
289.587000	102840	28700885.478441	-575215.527482	39.300000	
290.584000	102841	28700885.478441	-575215.527482	39.300000	
320.663000	102841	28700885.478441	-575215.527482	39.300000	
321.568000	102912	28700882.642259	-575207.512479	39.300000	
322.568000	102913	28700882.642259	-575207.512479	39.300000	
323.569000	102914	28700882.642259	-575207.512479	39.300000	
57.947000	103500	28700887.833921	-575261.502432	39.300000	
58.895000	103540	28700871.952394	-575267.291045	39.300000	
59.896000	103541	28700871.952394	-575267.291045	39.300000	
60.874000	103542	28700871.952394	-575267.291045	39.300000	
61.874000	103543	28700871.952394	-575267.291045	39.300000	
62.872000	103544	28700871.952394	-575267.291045	39.300000	
78.944000	103544	28700871.952394	-575267.291045	39.300000	
79.870000	103601	28700872.752369	-575264.508058	39.300000	
80.870000	103602	28700872.752369	-575264.508058	39.300000	
81.868000	103603	28700872.752369	-575264.508058	39.300000	
110.927000	103603	28700872.752369	-575264.508058	39.300000	
111.854000	103633	28700873.089931	-575253.598748	39.300000	
112.879000	103634	28700873.089931	-575253.598748	39.300000	
113.879000	103635	28700873.089931	-575253.598748	39.300000	
133.919000	103635	28700873.089931	-575253.598748	39.300000	
134.845000	103656	28700877.729698	-575250.370483	39.300000	
135.845000	103657	28700877.729698	-575250.370483	39.300000	
136.845000	103658	28700877.729698	-575250.370483	39.300000	
183.905000	103658	28700877.729698	-575250.370483	39.300000	
184.830000	103746	28700878.558278	-575244.247911	39.300000	
185.831000	103747	28700878.558278	-575244.247911	39.300000	
186.830000	103748	28700878.558278	-575244.247911	39.300000	
206.864000	103748	28700878.558278	-575244.247911	39.300000	
207.822000	103809	28700877.550973	-575235.008393	39.300000	
